userid,mtime,rating_star,comment
136590057,09/05/2021 08:29,5,xinhh quáaa đii thôii
158840227,06/05/2021 10:17,5,Giao hàng nhanh. Chất vải ok. Phù hợp với giá tiền. Nói chung tiền nào của nấy. Sẽ ủng hộ shop dài dài ạ nn
122897844,23/04/2021 07:11,5,"Hinh anh chi mang tinh chat lây xu, chuae sử dungh chưa biết như the ntnao. Nhueng nhin mẫu thấy ưng roi"
192102989,17/06/2021 12:00,5,Hàng cx ok rẻ. Nhưng ship a lâu í
177885405,17/06/2021 12:00,5,khá ok giao hơi lâu nhma ko giống hình lắm mà rẻ nê cũn dc
212861938,03/07/2021 16:57,5,Hàng giống hình và xinh ạ. Giá thì rẻ nữa ạ.Mọi người nên thử ạ.
364595524,17/06/2021 14:44,5,"hàng okk, shipper tthien cực, móng siêu yêu còn tặng kèm cả dũa móng"
81582473,18/05/2021 12:37,5,Giao hàng hơi lâu vì mua hàng quốc tế nhưng mà bù lại xinh lắm nha
178648111,24/04/2021 22:28,5,Okee hàng cute lắm. Không mua thì tiếc lắm nè. Rẻ mà cute mà đẹp mà dễ dùng nữa
87825761,21/05/2021 09:25,5,Đẹp đúng mẫu ldkdkdkdkskskskskskskskskn nuudd ssd dss
70569862,31/05/2021 10:05,5,"Hàng siêu ưng, siêu đẹp, đáng tiền lại còn đc tặng thêm dũa móng nữa"
166634396,14/05/2021 18:36,5,Móng tay đẹp lắm cho shop sao chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp rất đáng tiền
226609557,31/05/2021 19:01,3,Đểu cực luôn ý màu thì nhạt ơi là nhạt khác lắm k nên mua nhé ship thì rõ lâu
229828571,29/05/2021 12:25,5,Dsgxxcnn
203793645,25/05/2021 12:15,5,Chất lượng tốt. Giá thành hợp lí. Đáng để mua. Lần sau sẽ ủng hộ shop tiếp
295763570,25/06/2021 08:01,5,"Móng đẹp nhà,k có để chê."
352235996,12/05/2021 11:30,5,Mình mua ở shop lần này là thứ rồii móng xinh lắm nha giao hàng đủ nên mua nha mọi người
57236588,25/04/2021 02:28,5,Dễ thương lắm luôn mà mình chưa dán thử còn được tặng cái dũa nết nữaa
82095244,13/06/2021 17:18,5,Viết để nhận xu nhưng sản phẩm cũng rất ok nhé. tks shop nhiều hihi
214208930,11/05/2021 13:13,5,"giao đủ số lượng, móng xinh,đc tặng kèm dữa, rất nên mua nhaa"
54880946,24/05/2021 09:59,5,"Đẹp lắm nhé mng, hàng quốc tế nhưng giao khá nhanh, nhanh hơn dự định tận vài ngày"
20887600,06/06/2021 01:08,5,Đẹp. Móng hơi dài. Ổnn
119621326,27/04/2021 22:46,5,"Hàng giống hình, khá đẹp giao hàng quốc tế nên hơi lâu ngàyy"
72593288,03/05/2021 12:38,5,Chất lượng đẹp đóng gói cẩn thận giao hơi lâu vì hàng order hehe
